TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureAvgInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH,PrecipitationSumInches
74,59.5,45,67.0,55.0,43.0,93.0,75.0,57.0,29.68,10.0,6.0,2.0,20.0,25.5,31.0,0.46
56,47.5,39,43.0,35.5,28.0,93.0,68.0,43.0,30.13,10.0,7.5,5.0,16.0,20.5,25.0,0.0
58,45.0,32,31.0,27.0,23.0,76.0,51.5,27.0,30.49,10.0,10.0,10.0,8.0,10.0,12.0,0.0
61,46.0,31,36.0,28.5,21.0,89.0,55.5,22.0,30.45,10.0,8.5,7.0,12.0,16.0,20.0,0.0
58,49.5,41,44.0,40.0,36.0,86.0,71.0,56.0,30.33,10.0,8.5,7.0,10.0,13.0,16.0,0.0
57,48.0,39,39.0,36.0,33.0,79.0,63.0,47.0,30.4,10.0,8.5,7.0,12.0,14.5,17.0,0.0
60,52.5,45,41.0,39.0,37.0,83.0,65.0,47.0,30.39,10.0,8.5,7.0,7.0,9.0,11.0,0.0
62,51.0,40,43.0,38.0,33.0,92.0,64.0,36.0,30.17,10.0,8.5,7.0,10.0,12.0,14.0,0.0
64,50.0,36,49.0,38.5,28.0,92.0,76.0,60.0,30.1,10.0,7.0,4.0,17.0,20.5,24.0,0.0
44,39.5,35,31.0,26.0,21.0,75.0,60.0,45.0,30.33,10.0,10.0,10.0,13.0,17.0,21.0,0.0
55,45.5,36,31.0,27.0,23.0,76.0,54.0,32.0,30.39,10.0,10.0,10.0,8.0,10.0,12.0,0.0
69,54.0,39,51.0,40.5,30.0,83.0,67.5,52.0,30.11,10.0,9.0,8.0,13.0,17.5,22.0,0.0
55,44.0,33,39.0,29.0,19.0,83.0,54.5,26.0,30.37,10.0,9.5,9.0,21.0,26.0,31.0,0.0
58,43.0,28,37.0,27.5,18.0,75.0,48.5,22.0,30.35,10.0,10.0,10.0,14.0,17.5,21.0,0.0
71,56.5,42,55.0,46.5,38.0,89.0,68.0,47.0,29.95,10.0,9.0,8.0,16.0,22.0,28.0,0.0
59,46.5,34,54.0,34.5,15.0,87.0,59.0,31.0,30.08,10.0,7.0,4.0,21.0,27.5,34.0,0.0
36,29.0,22,15.0,8.5,2.0,50.0,38.0,26.0,30.68,10.0,10.0,10.0,17.0,22.0,27.0,0.0
48,35.0,22,29.0,16.5,4.0,68.0,42.5,17.0,30.52,10.0,10.0,10.0,13.0,17.5,22.0,0.0
53,46.5,40,51.0,40.5,30.0,93.0,75.0,57.0,30.2,10.0,5.5,1.0,12.0,15.0,18.0,0.16
70,61.5,53,60.0,55.0,50.0,93.0,79.5,66.0,30.11,10.0,5.0,0.0,12.0,15.5,19.0,0.0
72,64.5,57,64.0,59.0,54.0,93.0,80.5,68.0,29.87,10.0,5.5,1.0,13.0,17.0,21.0,0.1
75,61.5,48,54.0,37.0,20.0,93.0,53.0,13.0,30.06,10.0,7.5,5.0,12.0,15.5,19.0,0.0
67,56.5,46,58.0,45.5,33.0,84.0,68.0,52.0,30.01,10.0,10.0,10.0,15.0,19.5,24.0,0.01
71,57.0,43,60.0,38.5,17.0,87.0,50.5,14.0,30.01,10.0,8.5,7.0,17.0,23.0,29.0,0.0
76,56.5,37,31.0,25.5,20.0,70.0,41.0,12.0,30.13,10.0,10.0,10.0,16.0,22.5,29.0,0.0
64,52.0,40,29.0,22.5,16.0,49.0,35.0,21.0,30.33,10.0,10.0,10.0,14.0,17.5,21.0,0.0
72,56.0,40,31.0,27.0,23.0,55.0,37.5,20.0,30.13,10.0,10.0,10.0,14.0,17.0,20.0,0.0
64,53.5,43,31.0,23.0,15.0,45.0,31.0,17.0,30.29,10.0,9.5,9.0,14.0,17.5,21.0,0.0
70,53.5,37,41.0,32.0,23.0,59.0,45.0,31.0,30.19,10.0,10.0,10.0,12.0,15.5,19.0,0.0
72,58.5,45,41.0,29.5,18.0,64.0,39.0,14.0,30.22,10.0,10.0,10.0,9.0,12.5,16.0,0.0
82,64.0,46,51.0,37.0,23.0,71.0,44.0,17.0,30.0,10.0,10.0,10.0,16.0,21.0,26.0,0.0
63,50.5,38,28.0,23.5,19.0,59.0,39.0,19.0,30.31,10.0,10.0,10.0,15.0,20.0,25.0,0.0
70,53.5,37,39.0,31.5,24.0,70.0,44.5,19.0,30.11,10.0,10.0,10.0,12.0,15.0,18.0,0.0
56,41.5,27,42.0,31.0,20.0,78.0,64.0,50.0,30.47,10.0,6.0,2.0,20.0,25.5,31.0,0.06
40,33.0,26,22.0,16.0,10.0,81.0,60.0,39.0,30.63,10.0,6.5,3.0,16.0,20.0,24.0,0.05
70,48.0,26,38.0,30.0,22.0,85.0,52.5,20.0,30.19,10.0,9.0,8.0,8.0,11.0,14.0,0.0
76,59.5,43,45.0,39.0,33.0,76.0,51.5,27.0,29.84,10.0,10.0,10.0,12.0,16.0,20.0,0.0
60,47.0,34,43.0,24.0,5.0,66.0,43.5,21.0,30.09,10.0,10.0,10.0,21.0,26.5,32.0,0.02
39,33.0,27,19.0,13.0,7.0,69.0,48.0,27.0,30.4,10.0,10.0,10.0,15.0,19.0,23.0,0.05
49,38.0,27,19.0,14.0,9.0,63.0,42.0,21.0,30.41,10.0,10.0,10.0,15.0,19.0,23.0,0.0
65,48.0,31,51.0,35.5,20.0,80.0,64.0,48.0,30.06,10.0,10.0,10.0,15.0,21.0,27.0,0.0
80,67.5,55,59.0,55.0,51.0,86.0,64.0,42.0,29.87,10.0,9.5,9.0,14.0,19.5,25.0,0.0
76,65.5,55,62.0,51.5,41.0,81.0,70.5,60.0,29.81,10.0,9.5,9.0,14.0,20.0,26.0,0.0
55,45.0,35,40.0,33.5,27.0,79.0,69.0,59.0,30.09,10.0,7.0,4.0,18.0,23.5,29.0,0.02
46,40.0,34,38.0,33.0,28.0,82.0,73.5,65.0,30.17,10.0,6.5,3.0,13.0,15.0,17.0,0.0
64,53.0,42,45.0,42.0,39.0,89.0,67.5,46.0,29.95,10.0,6.0,2.0,10.0,14.0,18.0,0.15
48,39.5,31,42.0,29.0,16.0,80.0,59.5,39.0,30.37,10.0,10.0,10.0,16.0,20.0,24.0,0.0
32,29.0,26,17.0,15.0,13.0,58.0,53.5,49.0,30.48,10.0,10.0,10.0,15.0,19.0,23.0,0.0
